id	loai	vi	en	tm	ghi_chu	src
s077	li	Có. Nếu khoản đầu tư hao hụt do hiệu quả quỹ (không phải do rút vốn), nhà đầu tư vẫn đủ điều kiện 888C, miễn đã duy trì đầu tư đúng thời gian quy định và không rút vốn sớm.	Yes. Where the investment falls in value because of how the fund performed rather than because capital was withdrawn, the investor remains eligible for the 888C, provided the investment was held for the required period and no capital was withdrawn early.			acf.product_faq_items[2].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s078	p	Khoản đầu tư là at-risk.	The investment is at risk.			acf.product_faq_items[2].product_faq_item_sections[0].product_faq_item_section_note
s079	h4	Chứng minh nguồn tiền?	What source of funds evidence is required?	100%: What source of funds evidence is required?		acf.product_faq_items[3].product_faq_item_question
s080	p	Nguồn tiền	Source of funds	100%: Source of funds		acf.product_faq_items[3].product_faq_item_sections[0].product_faq_item_section_heading
s081	li	Cần chứng minh nguồn tiền hợp pháp, trong sạch (tương tự Mỹ, Canada).	Investors have to document a lawful, clean source of funds, to the same standard as in the U.S. and Canada.			acf.product_faq_items[3].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s082	li	Tài sản hợp lệ: bất động sản, tài sản doanh nghiệp, tiết kiệm, cổ phần/cổ phiếu — đứng tên đương đơn và/hoặc vợ/chồng.	Eligible assets include real estate, business assets, savings, and shareholdings or listed shares — held in the name of the applicant and/or the spouse or partner.			acf.product_faq_items[3].product_faq_item_sections[0].product_faq_item_section_bullets[1].product_faq_item_section_bullet_text
s083	li	Đường tiền (path of funds) cần diễn giải rõ ràng, có chứng từ.	The path of funds has to be explained clearly and backed by documents.			acf.product_faq_items[3].product_faq_item_sections[0].product_faq_item_section_bullets[2].product_faq_item_section_bullet_text
s084	h4	Rút vốn sau khi nộp 888C?	Can capital be withdrawn after the 888C is lodged?			acf.product_faq_items[4].product_faq_item_question
s085	p	Rút vốn	Withdrawing the capital			acf.product_faq_items[4].product_faq_item_sections[0].product_faq_item_section_heading
s086	li	Có thể, sau khi đã duy trì khoản đầu tư đủ thời gian quy định và hồ sơ 888C đã nộp. Thời điểm rút vốn nên theo tư vấn để không ảnh hưởng hồ sơ.	Yes, once the investment has been held for the required period and the 888C application has been lodged. The timing of any withdrawal should be planned with your advisor, so that it does not affect the application.			acf.product_faq_items[4].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s087	h4	Tiếng Anh có bắt buộc?	Is English required?			acf.product_faq_items[5].product_faq_item_question
s088	p	Tiếng Anh	English			acf.product_faq_items[5].product_faq_item_sections[0].product_faq_item_section_heading
s089	li	Không bắt buộc. Tiếng Anh tốt giúp cộng điểm và tránh phí bảo trợ ngoại ngữ (áp dụng cho người ≥18 tuổi). Mức phí theo biểu phí hiện hành của DoHA (cập nhật tại thời điểm nộp).	No. Good English helps with points and avoids the second instalment visa application charge, which applies to applicants aged 18 and over. The amount follows the Department of Home Affairs (DoHA) fee schedule current at the time of lodgement.			acf.product_faq_items[5].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s090	h4	Con học miễn phí?	Do children go to school for free?			acf.product_faq_items[6].product_faq_item_question
s091	p	Giáo dục	Education	100%: Education		acf.product_faq_items[6].product_faq_item_sections[0].product_faq_item_section_heading
s092	li	Có. Từ khi có visa 188, con được học trường công (tiểu học–THPT) theo chính sách dành cho thường trú nhân/diện được cấp; điều kiện cụ thể tùy bang.	Yes. Once the 188 visa is granted, children can attend public school from primary through senior secondary, under the policy that applies to permanent residents and eligible visa holders; the exact conditions are set by each state.			acf.product_faq_items[6].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s093	h4	Medicare với 188 và 888?	How does Medicare work on the 188 and on the 888?			acf.product_faq_items[7].product_faq_item_question
s094	p	Medicare	Medicare			acf.product_faq_items[7].product_faq_item_sections[0].product_faq_item_section_heading
s095	li	Giai đoạn 188 (tạm trú): chưa có Medicare, cần bảo hiểm y tế tự túc. Sau khi có 888C (PR): đủ điều kiện Medicare.	At the 188 (provisional) stage there is normally no Medicare access, so private health cover is needed. Once the 888C (PR) is granted, the family is eligible for Medicare.			acf.product_faq_items[7].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s096	h4	Tuổi con phụ thuộc?	Up to what age can children be included?	100%: Up to what age can children be included?		acf.product_faq_items[8].product_faq_item_question
s097	p	Người phụ thuộc	Dependents	100%: Dependents		acf.product_faq_items[8].product_faq_item_sections[0].product_faq_item_section_heading
s098	li	Con < 23 tuổi và còn phụ thuộc được đi cùng hồ sơ; tuổi chốt tại thời điểm cấp visa 188. Nên kiểm tra mốc tuổi con sớm để tránh quá hạn.	Children under 23 who are still dependent can be included in the application, with age locked at the time the 188 visa is granted. It is worth checking each child's age early so that no one ages out.			acf.product_faq_items[8].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text#1
s099	h4	Lộ trình quốc tịch Úc?	What is the path to Australian citizenship?	90%: A path to citizenship		acf.product_faq_items[9].product_faq_item_question
s100	p	Quốc tịch Úc	Australian citizenship			acf.product_faq_items[9].product_faq_item_sections[0].product_faq_item_section_heading
s101	li	Điều kiện nhập tịch tách riêng với PR: khoảng 4 năm cư trú hợp lệ tại Úc, trong đó tối thiểu 1 năm là thường trú nhân; không vắng mặt quá 90 ngày trong năm cuối; đạt kỳ thi quốc tịch; nhân thân tốt; đủ điều kiện ngoại ngữ.	The citizenship criteria are assessed separately from PR: generally 4 years of lawful residence in Australia, of which at least 1 year as a permanent resident; no more than 90 days outside Australia in the final year; passing the citizenship test; good character; and meeting the language requirement.			acf.product_faq_items[9].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
s102	h4	Mối quan hệ giúp duyệt nhanh?	Do connections speed up a decision?			acf.product_faq_items[10].product_faq_item_question
s103	p	Nguyên tắc xét duyệt	How applications are decided			acf.product_faq_items[10].product_faq_item_sections[0].product_faq_item_section_heading
s104	li	Không có chuyện 'quan hệ' giúp hồ sơ được ưu tiên hay nới điều kiện — điều này trái pháp luật Úc. Hồ sơ được xét trên dữ liệu và bằng chứng.	"There is no such thing as using ""connections"" to have an application prioritized or the requirements relaxed — that would be against Australian law. Applications are decided on the data and the evidence."			acf.product_faq_items[10].product_faq_item_sections[0].product_faq_item_section_bullets[0].product_faq_item_section_bullet_text
